Geo Point;Geo Shape;codeunique;nom_long;label;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;idrefliga;idrefligc;res_com;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.68969201295396, 2.3834027864558514;"{""coordinates"": [2.383402786455851, 48.68969201295396], ""type"": ""Point""}";151.0;Juvisy;Juvisy;478505.0;Juvisy;45739.0;Juvisy;A01840 / A01842;C01728;RER D;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;1.0;1.0;654613.501699999;6843459.526900001
49.135474143729056, 3.0756265643189287;"{""coordinates"": [3.075626564318929, 49.135474143729056], ""type"": ""Point""}";516.0;Mareuil-sur-Ourcq;Mareuil-sur-Ourcq;411376.0;Mareuil-sur-Ourcq;411375.0;Mareuil-sur-Ourcq;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;0.0;705519.299999997;6892856.3682
48.87520826454632, 2.6375907212580163;"{""coordinates"": [2.637590721258016, 48.87520826454632], ""type"": ""Point""}";2.0;Vaires-Torcy;Vaires-Torcy;68419.0;Vaires - Torcy;43211.0;Vaires - Torcy;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;673418.2648999989;6863970.452799998
48.88218913668722, 2.706014181118421;"{""coordinates"": [2.706014181118421, 48.88218913668722], ""type"": ""Point""}";3.0;Lagny-Thorigny;Lagny-Thorigny;68494.0;Lagny - Thorigny;427872.0;Lagny - Thorigny;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;678439.8038000017;6864725.841600001
48.79565481959573, 2.650387669808481;"{""coordinates"": [2.650387669808481, 48.79565481959573], ""type"": ""Point""}";10.0;Roissy-en-Brie;Roissy-en-Brie;67839.0;Roissy-en-Brie;46568.0;Roissy-en-Brie;A01843;C01729;RER E;RER;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;674317.7148000002;6855120.528499998
48.97402657956042, 3.2193028128261076;"{""coordinates"": [3.219302812826108, 48.97402657956042], ""type"": ""Point""}";21.0;Nanteuil-Saâcy;Nanteuil-Saâcy;69072.0;Nanteuil - Saâcy;47482.0;Nanteuil - Saâcy;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;1.0;1.0;716054.7815999985;6874920.533399999
48.81077531996061, 2.953730384464443;"{""coordinates"": [2.953730384464443, 48.81077531996061], ""type"": ""Point""}";28.0;Guérard - La Celle-sur-Morin;Guérard - La Celle-sur-Morin;67924.0;Guérard - La Celle-sur-Morin;47205.0;Guérard - La Celle-sur-Morin;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;696602.0395999998;6856745.912999999
48.80865396401216, 2.9931098934191773;"{""coordinates"": [2.993109893419177, 48.80865396401216], ""type"": ""Point""}";29.0;Faremoutiers - Pommeuse;Faremoutiers - Pommeuse;67917.0;Faremoutiers - Pommeuse;47199.0;Faremoutiers - Pommeuse;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;699493.9818999991;6856509.065200001
48.3745250124542, 2.059912347637065;"{""coordinates"": [2.059912347637065, 48.3745250124542], ""type"": ""Point""}";192.0;Guillerval;Guillerval;59450.0;Guillerval;43134.0;Guillerval;A02179;C01857;TER;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;630385.8394000009;6808661.331599999
48.535806508322246, 2.0693815248874716;"{""coordinates"": [2.069381524887472, 48.535806508322246], ""type"": ""Point""}";201.0;Sermaise;Sermaise;59842.0;Sermaise;47950.0;Sermaise;A01840;C01727;RER C;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;631298.2893000022;6826579.459800001
48.53373283306706, 2.008771815227847;"{""coordinates"": [2.008771815227847, 48.53373283306706], ""type"": ""Point""}";202.0;Dourdan;Dourdan;59836.0;Dourdan;43121.0;Dourdan;A01840;C01727;RER C;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;626821.1897;6826403.409600001
48.59281218941942, 2.461550180897488;"{""coordinates"": [2.461550180897488, 48.59281218941942], ""type"": ""Point""}";207.0;Villabé;Villabé;60124.0;Villabé;47904.0;Villabé;A01842;C01728;RER D;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;660292.2364000008;6832647.1609000005
48.693096589396255, 1.856592065306803;"{""coordinates"": [1.856592065306803, 48.693096589396255], ""type"": ""Point""}";100.0;Le Perray;Le Perray;62804.0;Le Perray;43235.0;Le Perray;A01847;C01736;TRAIN N;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;615843.5759000033;6844270.157499999
